pagina,indice_musica,titulo_musica,nome_artista,letra,album,data_lancamento,tags,identificador
1,31,"Ai, Amor",ANAVITÓRIA,"[Letra de ""Ai, Amor"" com ANAVITÓRIA]

[Verso 1: Ana, Vitória]
Ei, fiz questão da promessa lembrar
Tu jurou minha mão não soltar
E se foi junto dela
Ei, cê não sabe a falta que faz
Será que teus dias 'tão iguais?
Eu me pego pensando

[Refrão: ANAVITÓRIA]
Ai, amor
Será que tu divide a dor
Do teu peito cansado
Com alguém que não vai te sarar?

Meu amor
Eu vivo no aguardo
De ver você voltando, cruzando a porta
Parararara

[Verso 2: Ana, Vitória]
Ei, diz pra mim o que eu quero escutar
Só você sabe adivinhar
Meus desejos secretos
Ei, faz de conta que não percebi
Que você não esteve aqui
Com teu jeito singelo
[Refrão: ANAVITÓRIA]
Ai, amor
Será que tu divide a dor
Do teu peito cansado
Com alguém que não vai te sarar?

Meu amor
Eu vivo no aguardo
De ver você voltando, cruzando a porta

[Ponte: Ana, ANAVITÓRIA]
Sem hora pra voltar
Sem rota pra tua fuga
Com tempo pra perder
Teu olho degradê pra colorir
Pra colorir
Sem hora pra voltar
Sem rota pra tua fuga
Com tempo pra perder
Teu olho degradê pra colorir

[Refrão: ANAVITÓRIA]
Ai, amor
Será que tu divide a dor
Do teu peito cansado
Com alguém que não vai te sarar?

Meu amor
Eu vivo no aguardo
De ver você voltando, cruzando a porta
Parararara",O Tempo É Agora (2018),"Aug. 3, 2018","Pop,MPB (Música Popular Brasileira),Brasil,Em Português","Ai, Amor ANAVITÓRIA"
1,32,Fico Assim Sem Você,Adriana Calcanhotto,"[Letra de ""Fico Assim Sem Você"" com Adriana Calcanhotto]

[Verso 1]
Avião sem asa
Fogueira sem brasa
Sou eu assim sem você
Futebol sem bola
Piu-piu sem Frajola
Sou eu assim sem você

[Refrão 1]
Porquê é que tem que ser assim?
Se o meu desejo não tem fim?
Eu te quero a todo instante
Nem mil auto-falantes
Vão poder falar por mim

[Verso 2]
Amor sem beijinho
Buchecha sem Claudinho

Sou eu assim sem você
Circo sem palhaço
Namoro sem amasso

Sou eu assim sem você

[Refrão 2]
Tô louco pra te ver chegar
Tô louco pra te ter nas mãos
Deitar no teu abraço
Retomar o pedaço
Que falta no meu coração
Eu não existo longe de você
E a solidão é o meu pior castigo
Eu conto as horas pra poder te ver
Mas o relógio tá de mal comigo
[Pós-Refrão]
Por quê?
Por quê?

[Verso 3]
Neném sem chupeta
Romeu sem Julieta

Sou eu assim sem você
Carro sem estrada
Queijo sem goiabada

Sou eu assim sem você

[Refrão 1]
Por que é que tem que ser assim?
Se o meu desejo não tem fim?
Eu te quero a todo instante
Nem mil alto-falantes
Vão poder falar por mim

[Refrão 2 (Extendido)]
Eu não existo longe de você
E a solidão é o meu pior castigo
Eu conto as horas pra poder te ver
Mas o relógio tá de mal comigo

Eu não existo longe de você
E a solidão é o meu pior castigo
Eu conto as horas pra poder te ver
Mas o relógio tá de mal comigo",Adriana Partimpim (2004),2004,"Pop,Cover,MPB (Música Popular Brasileira),Brasil,Em Português",Fico Assim Sem Você Adriana Calcanhotto
1,33,Velha Infância,Tribalistas,"[Letra de ""Velha Infância"" por Tribalistas]

[Verso 1: Marisa Monte e Arnaldo Antunes]
Você é assim
Um sonho pra mim
E quando eu não te vejo
Eu penso em você
Desde o amanhecer
Até quando eu me deito

[Refrão 1: Marisa Monte e Arnaldo Antunes]
Eu gosto de você
E gosto de ficar com você
Meu riso é tão feliz contigo
O meu melhor amigo é o meu amor
E a gente canta
E a gente dança
E a gente não se cansa
De ser criança
A gente brinca
Na nossa velha infância

[Refrão 2: Marisa Monte e Arnaldo Antunes]
Seus olhos, meu clarão
Me guiam dentro da escuridão
Seus pés me abrem o caminho
Eu sigo e nunca me sinto só
[Verso 2: Arnaldo Antunes e Marisa Monte]
Você é assim
Um sonho pra mim
Quero te encher de beijos
Eu penso em você
Desde o amanhecer
Até quando eu me deito

[Refrão 1: Marisa Monte e Arnaldo Antunes, Marisa Monte]
Eu gosto de você
E gosto de ficar com você
Meu riso é tão feliz contigo
O meu melhor amigo é o meu amor
E a gente canta
A gente dança
A gente não se cansa
De ser criança
A gente brinca
Na nossa velha infância

[Refrão 2: Marisa Monte e Arnaldo Antunes]
Seus olhos, meu clarão
Me guiam dentro da escuridão
Seus pés me abrem o caminho
Eu sigo e nunca me sinto só
[Ponte: Marisa Monte]
Você é assim
Um sonho pra mim
Você é assim
Você é assim
Um sonho pra mim
Você é assim
Você é assim
Um sonho pra mim
Você é assim

[Saída: Arnaldo Antunes]
Você é assim
Um sonho pra mim
E quando eu não te vejo
Eu penso em você
Desde o amanhecer
Até quando eu me deito
Eu gosto de você
E gosto de ficar com você
Meu riso é tão feliz contigo
O meu melhor amigo é o meu amor",Tribalistas (2002),"Oct. 31, 2002","Pop,MPB (Música Popular Brasileira),Em Português,Brasil",Velha Infância Tribalistas
1,34,Cais,Milton Nascimento,"Para quem quer se soltar

Invento o cais
Invento mais
Que a solidão me dá

Invento lua nova a clarear
Invento o amor
E sei a dor de me lançar

Eu queria ser feliz
Invento o mar
Invento em mim o sonhador

Para quem quer me seguir

Eu quero mais
Tenho o caminho do que sempre quis
E um Saveiro pronto pra partir

Invento o cais
E sei a vez de me lançar",Milagre Dos Peixes (Gravado Ao Vivo) (1974),"Jan. 1, 1972","Pop,Chamber Folk,Contemporary Folk,Folk,Psychedelic,MPB (Música Popular Brasileira),Seventies,Em Português,Brasil",Cais Milton Nascimento
1,35,Por Supuesto,Marina Sena,"[Letra de ""Por Supuesto"" por Marina Sena]

[Verso 1]
Hoje eu olhei pra você e vi à beça
O gozo, a ginga, a luz, o som, a festa
Reparo em corte de cena, ponta, planta, mesa
Recorte inteiro de um amor completo
Só falta pelo menos um passo torto em cena
Não vou dormir, já vi, tô nessa


[Refrão]
Eu já deitei no seu sorriso, só você não sabe

Te chamei pro risco, então fica à vontade
Vivo em tela viva, tela de cara e coragem
Solta esse seu muro e põe os pés nessa viagem

Eu já deitei no seu sorriso, só você não sabe
Te chamei pro risco, então fica à vontade
Vivo em tela viva, tela de cara e coragem
Solta esse seu muro e põe os pés nessa viagem

[Verso 2]
Meu sonho feliz
Era chegar e já cair no mar

Pela forma como se segue o tempo, a nuvem
Pode ser que vai chover e não vou me molhar
Toda pressa é inimiga do cuidado e hoje eu quero
Amanhã te quero, posso esperar

Eu hoje tô bem, quero ser o seu bem
Solta a mão do vão, vem, do vão, vem
Por supuesto que não transpareço
Mas eu já rezei um terço hoje pro seu santo me guardar
Zerei as moedas do desejo
Pra você me dar um beijo, desembolar

[Refrão]
Eu já deitei no seu sorriso, só você não sabe
Te chamei pro risco, então fica à vontade
Vivo em tela viva, tela de cara e coragem
Solta esse seu muro e põe os pés nessa viagem
Eu já deitei no seu sorriso, só você não sabe
Te chamei pro risco, então fica à vontade
Vivo em tela viva, tela de cara e coragem
Solta esse seu muro e põe os pés nessa viagem

[Saída]
Meu sonho feliz
Era chegar e já cair no mar
Meu sonho feliz
Era chegar e já cair no mar
Meu sonho feliz
Era chegar e já cair no mar
Meu sonho feliz
Era chegar e já cair no mar",De Primeira (2021),"Aug. 19, 2021","Pop,MPB (Música Popular Brasileira),Brasil,Em Português",Por Supuesto Marina Sena
1,36,Baby,Gal Costa,"[Estrofe 1: Gal Costa]
Você precisa saber da piscina
Da margarina

Da Carolina

Da gasolina

Você precisa saber de mim


[Refrão 1: Gal Costa]
Baby, baby
Eu sei que é assim

Baby, baby
Eu sei que é assim


[Estrofe 2: Gal Costa]
Você precisa tomar um sorvete
Na lanchonete

Andar com a gente
Me ver de perto
Ouvir aquela canção do Roberto


[Refrão 2: Gal Costa]
Baby, baby
Há quanto tempo
Baby, baby
Há quanto tempo
[Estrofe 3: Gal Costa]
Você precisa aprender inglês

Precisa aprender o que eu sei
E o que eu não sei mais
E o que eu não sei mais

[Estrofe 4: Gal Costa]
Não sei, comigo vai tudo azul
Contigo vai tudo em paz

Vivemos na melhor cidade
Da América do Sul
Da América do Sul

Você precisa, você precisa, você precisa...
Não sei, leia na minha camisa


[Refrão 3: Gal Costa & Caetano Veloso]
Baby, baby
I love you
Baby, baby

(Oh please, stay by me, Diana)
I love you
Baby, baby

(Please, stay by me, Diana)
I love you
Baby, baby

(Please, stay by me, Diana)
I love you
Baby, baby

(Please, stay by me...)
I love you",Gal Costa (1969),1969,"Rock,Brasil,MPB (Música Popular Brasileira),Em Português",Baby Gal Costa
1,37,"Cananéia, Iguape e Ilha Comprida",Emicida,"[Letra de ""Cananéia, Iguape e Ilha Comprida"" com Emicida]

[Intro: Emicida & Teresa]

Isso
O que é isso?
Não, chocalho tem que ser tocado com vontade, entendeu?
Só que sem risadinha, certo? Sem risadinha porque aqui é o rap, mano, onde o povo é brabo, entendeu? Povo é mau! Mau! Mau!
Pra trabalhar nesse emprego de rapper você tem que ser mau! Ahn, entendeu? Sem risadinha, ok?
Será que o Brown passa por isso? Ou o Djonga? Ou o Rael? Sei lá, meu...

Aqui os cara é mau!
Vamo, Nave!


[Refrão]
Do fundo do meu coração
Do mais profundo canto em meu interior, ô, ô
Pro mundo em decomposição
Escrevo como quem manda cartas de amor, uô-uô-uô-uô-uô-uô

[Verso 1]
Crianças, risos e janelas
Namoradeiras, tranças, chitas amarelas
O vermelho das telhas, o luzir da centelha
Ah, te faz sentir como dentro de uma tela
A esperança pinta em aquarela
Chiadeira de rádio, TVs e novelas
O passeio das abelhas, o concordar das ovelhas nas orelhas
E a vida concorda de tabela
[Pré-Refrão]
No paralelepípedo, trabalhador intrépido
O motor está no ímpeto onde começa tudo
O vento acalma o rápido, pra todo som eclético
Vitrolas cantam clássicos num belo absurdo
Metrópoles sufocam, são necrópoles que não se tocam

Então se chocam com o sonho de alguém
São assassinas de domingo a pausar tudo que é lindo
Todos que sentem isso são meus amigos também

[Refrão]
Essa aqui vem do fundo do meu coração (Ah, ah, ah)
Do mais profundo canto do meu interior
Pro mundo em decomposição
Escrevo como quem manda cartas de amor
Do fundo do meu coração, essa aqui vem do meu coração
Do mais profundo canto em meu interior, uõ-ô-ô
Pro mundo em decomposição, essa aqui também é uma forma de oração
Escrevo como quem manda cartas de amor

[Verso 2]
Estrela, lua e vaga-lume
Siriris brincando de cardume
Fogueira traz histórias a reviver as memórias
Noêmia de Souza chamava de lume

A noite brinda com negrume
A brisa empurra flores, espalha o perfume
Sem escapatória da cigarra em oratória
Tão íntima da música que dá ciúme
[Pré-Refrão]
No paralelepípedo, trabalhador intrépido
O motor está no ímpeto onde começa tudo
O vento acalma o rápido, pra todo som eclético
Vitrolas cantam clássicos num belo absurdo
Metrópoles sufocam, são necrópoles que não se tocam
Então se chocam com o sonho de alguém
São assassinas de domingo a pausar tudo que é lindo
Todos que sentem isso são meus amigos também

[Ponte]
O quê? Você quer gravar também?
Peraê, o pai tem que gravar de novo

[Refrão]
Do fundo do meu coração
(A gente pode pôr flores amarelas no cabelo das meninas
Pode mesmo)
Do mais profundo canto em meu interior
(E no dos meninos também)
Pro mundo em decomposição
(Tantas cores iam deixar a vida com gosto de sobremesa
Aí)
Escrevo como quem manda cartas de amor
(Cartas de amor pra todo mundo
Todo mundo! Todo mundo! Todo mundo!
Vai faltar caneta!)",AmarElo (2019),"Oct. 30, 2019","Rap,MPB (Música Popular Brasileira),Brasil,Em Português","Cananéia, Iguape e Ilha Comprida Emicida"
1,38,Você Mentiu,Anitta & Caetano Veloso,"[Letra de ""Você Mentiu"" com Anitta & Caetano Veloso]

[Refrão: Anitta & Caetano Veloso]
Você mentiu
E eu não devia mais acreditar
Eu não devia sequer me importar
É só mais uma das suas, amor
Você mentiu
E eu não devia nem mesmo ligar
Eu não devia nem mesmo aceitar
Mais uma loucura de amor

[Verso: Anitta & Caetano Veloso]
Quem sabe um dia você vai saber o que é o amor
E nesse dia perceber o que é que tem valor
Sair do preto e branco para um mundo com mais cor
E aí quem sabe conversar sem mágoa e sem rancor

[Refrão: Anitta & Caetano Veloso]
Mas você mentiu
E eu não devia mais acreditar
Eu não devia sequer me importar
Mais uma das suas, amor
Você mentiu
E eu não devia nem mesmo ligar
Eu não devia nem mesmo aceitar
Mais uma loucura de amor
[Verso: Anitta & Caetano Veloso]
Quem sabe um dia você vai saber o que é o amor
E nesse dia perceber o que é que tem valor
Sair do preto e branco para um mundo com mais cor
E aí quem sabe conversar sem mágoa e sem rancor

[Refrão: Anitta, Caetano Veloso & Ambos]
Mas você mentiu
E eu não devia mais acreditar
Eu não devia sequer me importar
Que é só mais uma das suas, amor",Kisses (2019),"Apr. 5, 2019","Pop,Duet,MPB (Música Popular Brasileira),Brasil,Em Português",Você Mentiu Anitta & Caetano Veloso
1,39,Trem de doido,Lô Borges,"[Verso]
Noite azul, pedra e chão
Amigos num hotel
Muito além do céu
Nada a temer, nada a conquistar
Depois que este trem começa a andar, andar
Deixando pelo chão os ratos mortos na praça
Do mercado

[Refrão]
Quero estar onde estão
Os sonhos desse hotel
Muito além do céu
Nada a temer, nada a combinar
Na hora de achar o meu lugar no trem
E não sentir pavor dos ratos soltos na praça
Minha casa

[Ponte]
Não precisa ir muito além dessa estrada
Os ratos não sabem morrer na calçada
É hora de você achar o trem
E não sentir pavor dos ratos soltos na casa
Sua casa

[Refrão]
Quero estar onde estão
Os sonhos desse hotel
Muito além do céu
Nada a temer, nada a combinar
Na hora de achar o meu lugar no trem
E não sentir pavor dos ratos soltos na praça
Minha casa
[Ponte]
Não precisa ir muito além dessa estrada
Os ratos não sabem morrer na calçada
É hora de você achar o trem
E não sentir pavor dos ratos soltos na casa
Sua casa",Clube da Esquina (1972),"Jan. 1, 1972","Rock,Pop,Acid,MPB (Música Popular Brasileira),Psychedelic Rock,Psychedelic,Seventies,Em Português,Brasil",Trem de doido Lô Borges
1,40,Pupila,Anavitória & Vitor Kley,"[Letra de ""Pupila"" com ANAVITÓRIA & Vitor Kley]

[Refrão 1: Vitor Kley, ANAVITÓRIA & Juntos]
Como que eu vou dizer pra ela
Que eu gosto do seu cheiro
Da cor do seu cabelo
Que ela faz minha pupila dilatar?
Eu quero dizer pra ele
Que a rima fez efeito
Agora penso o dia inteiro
Só ele faz minha pupila dilatar
Ta ta ta, ta ta ra ta ta
Ta ta ta, ta ta ra ta ta
Ta ta ta, ta ta ra ta ta ta

[Verso 1: Vitor Kley]
Sabe, depois que eu te conheci
Ficou difícil de viver
Eu fico aqui imaginando coisas com você
Viu, o nosso som é parecido
Será que isso é obra do destino?
Pensando bem, contigo até combino

[Refrão 1: Vitor Kley, ANAVITÓRIA & Juntos]
Como que eu vou dizer pra ela
Que eu gosto do seu cheiro
Da cor do seu cabelo
Que ela faz minha pupila dilatar?
Eu quero dizer pra ele
Que a rima fez efeito
E agora penso o dia inteiro
Só ele faz minha pupila dilatar
Ta ta ta, ta ta ra ta ta
Ta ta ta, ta ta ra ta ta
Ta ta ta, ta ta ra ta ta ta
[Verso 2: Ana, Vitória, ANAVITÓRIA]
Faz de conta que eu te conheço bem
Quero algum atalho pra te convencer
Que a gente 'se combina'
Só você não vê, mas eu vejo
Eu vejo, aa-ah
Ensaio no espelho pra tentar ligar (Tentar ligar)
Invento mil acasos pra te esbarrar por aí
Não sei o que que eu faço
Eu quero mais
Eu quero mais de ti

[Refrão 1: Vitor Kley, ANAVITÓRIA & Juntos]
Como que eu vou dizer pra ela
Que eu gosto do seu cheiro
Da cor do seu cabelo
Que ela faz minha pupila dilatar?
Eu quero dizer pra ele
Que a rima fez efeito
E agora penso o dia inteiro
Só ele faz minha pupila dilatar
Ta ta ta, ta ta ra ta ta
Ta ta ta, ta ta ra ta ta
Ta ta ta, ta ta ra ta ta ta

[Ponte: Ana, Vitor Kley, Vitória, ANAVITÓRIA & Vitor Kley]
Ahhhh
É bom demais querer alguém
E eu quero você (E eu quero você)
Eu quero você (Ah-ah-ah-ah-ah)
É bom demais querer alguém
E é você que eu quero (E é você que eu quero)
É você, oh!
[Refrão 2: ANAVITÓRIA, Vitor Kley, ANAVITÓRIA & Vitor Kley]
Como que eu vou dizer pra ele
Que eu quero aquele beijo
Que eu sei guardar segredo
Ninguém precisa nem desconfiar?
Eu quero dizer pra ela
Que eu amo o seu jeito
Que o seu óculos é maneiro
Que ela faz minha pupila dilatar
Ta ta ta, ta ta ra ta ta
Ta ta ta, ta ta ra ta ta
Que ela faz minha pupila dilatar
Ta ta ta, ta ta ra ta ta
Ta ta ta, ta ta ra ta ta
Ta ta ta, ta ta ra ta ta ta",,"Jul. 5, 2019","Pop,Brasil,Em Português,MPB (Música Popular Brasileira)",Pupila Anavitória & Vitor Kley
1,41,Não Me Deixe Só,Vanessa da Mata,"Não me deixe só
Eu tenho medo do escuro
Eu tenho medo do inseguro
Dos fantasmas da minha voz

Não me deixe só
Eu tenho medo do escuro
Eu tenho medo do inseguro
Dos fantasmas da minha voz

Não me deixe só
Tenho desejos maiores
Eu quero beijos interminaveis
Até que os olhos mudem de cor

Não me deixe só
Eu tenho medo do escuro
Eu tenho medo do inseguro
Dos fantasmas da minha voz

Não me deixe só
Que o meu destino é raro
Eu não preciso que seja caro
Quero gosto sincero de amor

Fique mais
Que eu gostei de ter você
Não vou mais querer ninguém
Agora que sei quem me faz bem
Não me deixe só
Que eu saio na capoeira
Sou perigosa, sou macumbeira
E sou de paz, eu sou de bem mais

Não me deixe só
Eu tenho medo do escuro
Eu tenho medo do inseguro
Dos fantasmas da minha voz

Não me deixe só
Eu tenho medo do escuro
Eu tenho medo do inseguro
Dos fantasmas da minha voz

Hã-hã

Fique mais
Que eu gostei de ter você
Não vou mais querer ninguém
Agora que sei quem me faz bem

Não me deixe só
Que eu saio na capoeira
Sou perigosa, sou macumbeira
E sou de paz, eu sou de bem mais
Não me deixe só
Eu tenho medo do escuro
Eu tenho medo do inseguro
Dos fantasmas da minha voz

Hã-hã",Vanessa da Mata (2002),Jul. 2002,"Pop,MPB (Música Popular Brasileira),Em Português,Brasil",Não Me Deixe Só Vanessa da Mata
1,42,Morena,Vitor Kley,"[Letra de ""Morena"" com Vitor Kley & Bruno Martini]

[Verso 1]
Ela riu do meu cabelo sem me conhecer
E eu que sou um cara esperto já colei pra ver
Qual que era da morena com sorriso lindo do olho azul

Começamos, papo louco sem nem perceber
Sobre ex e talvez seja melhor nem dizer
Eu vim lá da Zona Oeste, ela é menina da Zona Sul

[Pré-Refrão]
Menina mulher, que intimida, atitude
De quem sabe o que quer, mesmo que o tempo mude
Ela é sol, é verão, é poema, é canção
Que alegra o meu coração

[Refrão]
Morena, me encantei com o seu jeito de olhar
Paralisei o tempo só pra lembrar
Daquela cena em que eu tirava a tua saia
E você beijava a minha boca
Me encantei com o seu jeito de olhar
Paralisei o tempo só pra lembrar
Daquela cena em que eu tirava a tua saia
E você beijava a minha boca
[Verso 2]
Dali pra frente, a história começou a complicar
Ela foi pro Rio embora e levou meu colar
Até me mandou uma foto, jurando que não foi por querer
Eu fingindo acreditar que tava tudo bem
Sei que quando olhar pra ele vai me desejar como ninguém
Morena malandra, você não me engana, eu sei que foi por querer

[Pré-Refrão]
E mesmo que for, isso é bom pra lembrar
Desse nosso romance, quando o peito apertar
Você pensa em mim, tô pensando em você
Tá difícil de te esquecer

[Refrão]
Morena, me encantei com o seu jeito de olhar
Paralisei o tempo só pra lembrar
Daquela cena que eu tirava a tua saia
E você beijava a minha boca
Me encantei com o seu jeito de olhar
Paralisei o tempo só pra lembrar
Daquela cena que eu tirava a tua saia
E você beijava a minha boca

[Saída]
Uo, uou, morena
Uou, morena
Ela riu do meu cabelo sem me conhecer",Adrenalizou (2018),"Jun. 8, 2018","Pop,MPB (Música Popular Brasileira),Brasil,Em Português",Morena Vitor Kley
1,43,Sujeito de Sorte,Belchior,"[Letra de ""Sujeito de Sorte""]

[Intro]
Presentemente eu posso me considerar um sujeito de sorte
Porque, apesar de muito moço, me sinto são e salvo e forte
E tenho comigo pensado: ""Deus é brasileiro e anda do meu lado""
E assim já não posso sofrer no ano passado
Tenho sangrado demais, tenho chorado pra cachorro
Ano passado eu morri, mas esse ano eu não morro
Tenho sangrado demais, tenho chorado pra cachorro
Ano passado eu morri, mas esse ano eu não morro
Ano passado eu morri, mas esse ano eu não morro
Ano passado eu morri, mas esse ano eu não morro


[Verso]
Presentemente eu posso me considerar um sujeito de sorte
Porque, apesar de muito moço, me sinto são e salvo e forte
E tenho comigo pensado: ""Deus é brasileiro e anda do meu lado""
E assim já não posso sofrer no ano passado
Tenho sangrado demais, tenho chorado pra cachorro
Ano passado eu morri, mas esse ano eu não morro
Tenho sangrado demais, tenho chorado pra cachorro
Ano passado eu morri, mas esse ano eu não morro
Ano passado eu morri, mas esse ano eu não morro
Ano passado eu morri, mas esse ano eu não morro

[Saída]
Presentemente eu posso me considerar um sujeito de sorte
Porque, apesar de muito moço, me sinto são e salvo e forte
E tenho comigo pensado: ""Deus é brasileiro e anda do meu lado""
E assim já não posso sofrer no ano passado
Tenho sangrado demais, tenho chorado pra cachorro
Ano passado eu morri, mas esse ano eu não morro
Tenho sangrado demais, tenho chorado pra cachorro
Ano passado eu morri, mas esse ano eu não morro
Ano passado eu morri, mas esse ano eu não morro
Ano passado eu morri, mas esse ano eu não morro",Alucinação (1976),"May. 10, 1976","Rock,MPB (Música Popular Brasileira),Brasil,Em Português",Sujeito de Sorte Belchior
1,44,Azul Da Cor Do Mar,Tim Maia,"[Letra de ""Azul Da Cor Do Mar""]

[Verso 1]
Ah, se o mundo inteiro me pudesse ouvir
Tenho muito pra contar, dizer que aprendi

E na vida a gente tem que entender
Que um nasce pra sofrer enquanto o outro ri


[Verso 2]
Mas quem sofre sempre tem que procurar
Pelo menos vir achar razão para viver

Ver na vida algum motivo pra sonhar
Ter um sonho todo azul, azul da cor do mar


Mas quem sofre sempre tem que procurar
Pelo menos vir achar razão para viver

Ver na vida algum motivo pra sonhar
Ter um sonho todo azul, azul da cor do mar",Tim Maia (1970) (1970),"May. 1, 1970","Pop,R&B,Seventies,Soul,Ballad,MPB (Música Popular Brasileira),Em Português,Brasil",Azul Da Cor Do Mar Tim Maia
1,45,San Vicente,Milton Nascimento,"[Verse 1]
Coração americano

Acordei de um sonho estranho
Um gosto vidro e corte
Um sabor de chocolate

No corpo e na cidade
Um sabor de vida e morte

Coração americano

Um sabor de vidro e corte

[Verse 2]
A espera na fila imensa
E o corpo negro se esqueceu

Estava em San Vicente
A cidade e suas luzes
Estava em San Vicente
As mulheres e os homens
Coração americano
Um sabor de vidro e corte

[Verse 3]
As horas não se contavam
E o que era negro anoiteceu
Enquanto se esperava
Eu estava em San Vicente

Enquanto acontecia
Eu estava em San Vicente
Coração americano
Um sabor de vidro e corte
[Outro]
Ay-ay-a
Ay-ay-ay-ay-ay-a
Ay-ay-a
Ay-ay-a
Ay-ay-ay-ay-ay-a
Ay-ay-a",Milagre Dos Peixes (Gravado Ao Vivo) (1974),"Jan. 1, 1972","Rock,Flamenco,Folk Pop,Psychedelic,MPB (Música Popular Brasileira),Seventies,Em Português,Brasil",San Vicente Milton Nascimento
1,46,Gita,Raul Seixas,"[Letra de ""Gita"" com Raul Seixas]

[Intro]
Eu que já andei pelos quatro cantos do mundo procurando
Foi justamente num sonho que ele me falou


[Verso 1]
Às vezes você me pergunta
Por que é que eu sou tão calado
Não falo de amor quase nada
Nem fico sorrindo ao teu lado
Você pensa em mim toda hora
Me come, me cospe, me deixa
Talvez você não entenda
Mas hoje eu vou lhe mostrar

[Refrão 1]
Eu sou a luz das estrelas
Eu sou a cor do luar
Eu sou as coisas da vida
Eu sou o medo de amar
Eu sou o medo do fraco
A força da imaginação
O blefe do jogador
Eu sou, eu fui, eu vou
(Gita! Gita! Gita! Gita! Gita!)

Eu sou o seu sacrifício
A placa de contramão
O sangue no olhar do vampiro
E as juras de maldição
Eu sou a vela que acende
Eu sou a luz que se apaga
Eu sou a beira do abismo
Eu sou o tudo e o nada
[Verso 2]
Por que você me pergunta?
Perguntas não vão lhe mostrar
Que eu sou feito da terra
Do fogo, da água e do ar
Você me tem todo dia
Mas não sabe se é bom ou ruim
Mas saiba que eu estou em você
Mas você não está em mim

[Refrão 2]
Das telhas, eu sou o telhado
A pesca do pescador
A letra ""A"" tem meu nome

Dos sonhos, eu sou o amor
Eu sou a dona de casa
Nos pegue-pagues do mundo
Eu sou a mão do carrasco
Sou raso, largo, profundo
(Gita! Gita! Gita! Gita! Gita!)
Eu sou a mosca da sopa
E o dente do tubarão
Eu sou os olhos do cego
E a cegueira da visão
Eu, mas eu sou o amargo da língua
A mãe, o pai e o avô
O filho que ainda não veio
O início, o fim e o meio
O início, o fim e o meio
Eu sou o início, o fim e o meio
Eu sou o início, o fim e o meio",Gita (1974),"Feb. 1, 1974","Rock,MPB (Música Popular Brasileira),Rockabilly,Seventies,Em Português,Brasil",Gita Raul Seixas
1,47,Geni e o Zepelim,Chico Buarque,"[Verso 1]
De tudo que é nego torto
Do mangue e do cais do porto
Ela já foi namorada
O seu corpo é dos errantes
Dos cegos, dos retirantes
É de quem não tem mais nada
Dá-se assim desde menina
Na garagem, na cantina
Atrás do tanque, no mato
É a rainha dos detentos
Das loucas, dos lazarentos
Dos moleques do internato
E também vai amiúde
Com os velhinhos sem saúde
E as viúvas sem porvir
Ela é um poço de bondade
E é por isso que a cidade
Vive sempre a repetir

[Refrão]
Joga pedra na Geni
Joga pedra na Geni
Ela é feita pra apanhar
Ela é boa de cuspir
Ela dá pra qualquer um
Maldita Geni

[Verso 2]
Um dia surgiu, brilhante
Entre as nuvens, flutuante
Um enorme zepelim
Pairou sobre os edifícios
Abriu dois mil orifícios
Com dois mil canhões assim
A cidade apavorada
Se quedou paralisada
Pronta pra virar geleia
Mas do zepelim gigante
Desceu o seu comandante
Dizendo: mudei de ideia
Quando vi nesta cidade
Tanto horror e iniquidade
Resolvi tudo explodir
Mas posso evitar o drama
Se aquela formosa dama
Esta noite me servir

[Refrão]
Essa dama era Geni
Mas não pode ser Geni
Ela é feita pra apanhar
Ela é boa de cuspir
Ela dá pra qualquer um
Maldita Geni
[Verso 3]
Mas de fato, logo ela
Tão coitada e tão singela
Cativara o forasteiro
O guerreiro tão vistoso
Tão temido e poderoso
Era dela, prisioneiro
Acontece que a donzela
E isso era segredo dela
Também tinha seus caprichos
E a deitar com homem tão nobre
Tão cheirando a brilho e a cobre
Preferia amar com os bichos
Ao ouvir tal heresia
A cidade em romaria
Foi beijar a sua mão
O prefeito de joelhos
O bispo de olhos vermelhos
E o banqueiro com um milhão

[Refrão]
Vai com ele, vai Geni
Vai com ele, vai Geni
Você pode nos salvar
Você vai nos redimir
Você dá pra qualquer um
Bendita Geni
[Verso 4]
Foram tantos os pedidos
Tão sinceros, tão sentidos
Que ela dominou seu asco
Nessa noite lancinante
Entregou-se a tal amante
Como quem dá-se ao carrasco
Ele fez tanta sujeira
Lambuzou-se a noite inteira
Até ficar saciado
E nem bem amanhecia
Partiu numa nuvem fria
Com seu zepelim prateado
Num suspiro aliviado
Ela se virou de lado
E tentou até sorrir
Mas logo raiou o dia
E a cidade em cantoria
Não deixou ela dormir

[Refrão x2]
Joga pedra na Geni
Joga bosta na Geni
Ela é feita pra apanhar
Ela é boa de cuspir
Ela dá pra qualquer um
Maldita Geni",Ópera do Malandro (1979),1979,"Pop,Short Story,Storytelling,Soundtrack,Seventies,MPB (Música Popular Brasileira),Em Português",Geni e o Zepelim Chico Buarque
